RefID,Project,Location,Est Cost $M,2022-23,2023-24,0-5,5-10,0-10,0-15,10-15,15+,Challenge / Opportunity,log_cost,Region_Presented,Region_Big Rivers,Region_Central Australia,Region_East Arnhem,Region_Greater Darwin,Region_Territory Wide,Region_Top End Rural,Sub Sector_Agribusiness,Sub Sector_Air Transport,Sub Sector_Aquaculture,Sub Sector_Arts Trail,Sub Sector_Aviation Technology,Sub Sector_Civic Services,Sub Sector_Cotton,Sub Sector_Creative Industries,Sub Sector_Cruise Industry,Sub Sector_Cultural Experiences,Sub Sector_Development and Maintenance of Facilities,Sub Sector_Digital Industries,Sub Sector_Digital and Telecommunications Infrastructure,Sub Sector_Drive Market,Sub Sector_Education and Training,Sub Sector_Electricity,Sub Sector_Festivals and Major Events,Sub Sector_Fuel Storage,Sub Sector_Green and Blue Infrastructure,Sub Sector_Health,Sub Sector_Heritage Trails,Sub Sector_Horticulture,Sub Sector_Housing,Sub Sector_Industrial Subdivisions,Sub Sector_Intermodal Hubs,Sub Sector_Justice and Public Safety,Sub Sector_Lifestyle,Sub Sector_Manufacturing,Sub Sector_Marine Infrastructure,Sub Sector_Meeting Places,Sub Sector_Mining,Sub Sector_National Critical Care and Trauma Response,"Sub Sector_Parks, Reserves, Waterways","Sub Sector_Rail, Roads and Bridges",Sub Sector_Residential Subdivisions,Sub Sector_Retail and Business,Sub Sector_Space,Sub Sector_Sport and Recreation,"Sub Sector_Sporting, Recreation, Lifestyle",Sub Sector_Superyacht Industry,Sub Sector_Tourism,Sub Sector_Training Facilities,Sub Sector_Transport and Logistics,Sub Sector_Unlock the potential of the Territory's regions,Sub Sector_Waste Management,Sub Sector_Water,Sub Sector_Work stay play,Enabling Infrastructure_Other,Enabling Infrastructure_Social Infrastructure,Enabling Infrastructure_Transport and Logistics,Enabling Infrastructure_Utilities,Industry Sector_Civic Services,Industry Sector_Defence and Security,Industry Sector_Education and Training,Industry Sector_Emerging Industries,Industry Sector_Health,Industry Sector_Housing,Industry Sector_Justice and Public Safety,Industry Sector_Land,Industry Sector_Lifestyle,Industry Sector_Resources,"Industry Sector_Sporting, Recreation, Lifestyle",Industry Sector_Tourism,Industry Sector_Transport and Logistics,Industry Sector_Utilities,Category_P
0o21,Marrara – new residential estate in two stages,"-12.404, 130.9104",5.3,2.6,3.0,,,,,,,Provide innovative infill housing options and create a safe and vibrant place for people to enjoy,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8k07,Museum and Art Gallery of the Northern Territory (MAGNT) - air-conditioning upgrade,"-12.43762, 130.83310",5.3,2.6,3.0,,,,,,,"Value, preserve and expand historic, cultural meeting places, increase visitation opportunities and user experience",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8k62,Arts and Museums collection storage expansion for Northern Territory Government collecting institutions,"-15.000,129.0811",55.0,2.6,3.0,,,,,,,"Preservation, protection and accessibility of collections",1.7403626894942439,Greater Darwin,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9e36,Batchelor Area School - upgrade primary school infrastructure ,"-12.4792, 130.985",1.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
533,Bees Creek School - new classroom block,"-12.5803, 131.0551",3.0,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2s11,"Berry Springs Nature Park - upgrade and refresh swimming entries, including limited mobility access ","-12.7219, 131.0103",5.3,2.6,3.0,,,,,,,"Value, preserve and expand access to parks, increase visitation opportunities and visitor experience",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0s2,Bushfires Headquarters - final stage,"-12.73081, 131.068497",4.0,2.6,3.0,,,,,,,Provide for effective emergency response and improve community safety,0.6020599913279624,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0f7,Casuarina - Education and Training Unit - refit Cascom 2B,"-12.3738, 130.8814",1.1,2.6,1.0,,,,,,,"Improve Territory Families, Housing and Community services",0.04139268515822508,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9e29,Casuarina Senior College - upgrade block A ,"-12.3738, 130.8814",3.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8e01,Casuarina Senior College - upgrade block E ,"Casuarina Senior College, NT Australia",3.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0s11,Darwin CBD Sports Stadium and Entertainment Precinct,"-12.460834, 130.84444",500.0,2.6,3.0,,,,,,,Develop state-of-the-art stadium facilities to grow AFL and entertainment opportunities,2.6989700043360187,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
547.1,Darwin High School - refurbish Block A (classrooms),"Darwin High School, NT Australia",11.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,1.0413926851582251,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
547,Darwin High School - refurbish Block B (music and arts),"Darwin High School, NT Australia",11.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,1.0413926851582251,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0d15,Darwin Seafood Processing Facility,"-12.460834, 130.84444",10.0,2.6,3.0,,,,,,,Enable economic development of the seafood industry,1.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9e20,Driver Primary School - administration building additions ,"-12.4871, 130.9768",1.9,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,0.2787536009528289,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9e26,Durack Primary School - administration building additions ,"-12.4725, 130.9745",1.3,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,0.11394335230683679,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
775,Fannie Bay - 7 Waratah Crescent - residential redevelopment,"-12.4216, 130.8386",30.0,2.6,10.0,,,,,,,Provide innovative medium density housing options and create a safe and vibrant place for people to enjoy,1.4771212547196624,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8k10,Fannie Bay Gaol visitor centre and arts hub,"-12.4261, 130.836264",10.0,2.6,3.0,,,,,,,"Grow a creative and innovative community, expand tourism opportunities to develop the economy and increase liveability ",1.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
409,Fogg Dam Conservation Reserve - upgrades to sluice gate and additional flood spill way to maintain condition of the dam wall and road edges ,"-12.57102, 131.3134",5.3,2.6,3.0,,,,,,,Develop Fogg Dam as the premier site for birdwatching close to Darwin to grow the birdwatching tourism sector,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8k37,Howard Springs Nature Park - refresh infrastructure,Howard Springs Nature Park NT Australia,5.3,2.6,3.0,,,,,,,"Value, preserve and expand access to parks, increase visitation opportunities and visitor experience",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
559,Humpty Doo Primary School - early years,"-12.5842, 131.1258",2.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in early years learning enrolments,0.3979400086720376,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2p24,Humpty Doo Volunteer Fire Brigade - construct living quarters and sheds ,"-12.5842, 131.1258",5.0,2.6,3.0,,,,,,,Strengthen emergency support services in rural communities,0.6989700043360189,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
568,Larrakeyah Primary School - four new classrooms ,"-12.457876, 130.82941",5.0,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,0.6989700043360189,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0e13,"Larrakeyah Primary School - preschool redevelopment
","-12.457876, 130.82941",5.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in early years learning enrolments,0.6989700043360189,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
570,Leanyer Primary School - early years and community hub,"-12.374667, 130.8997",7.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in early years learning enrolments,0.8450980400142568,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
573,Ludmilla Primary School - new administration building,"-12.424527,130.85513",9.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,0.9542425094393249,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0e21,Manunda Terrace School - basketball court upgrades,"-12.4004, 130.9156",0.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support student engagement,-0.3010299956639812,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9e51,Milner Primary School - install lift,"-12.3917, 130.864",0.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support students with additional needs,-0.3010299956639812,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
