Feature,Coefficient
Sub Sector_Work stay play,-1.7402341298073414
Sub Sector_National Critical Care and Trauma Response,-0.9529410193998603
Sub Sector_Sport and Recreation,-0.8853765533886937
Sub Sector_Meeting Places,-0.830478320744055
Sub Sector_Digital Industries,0.8267853648343872
Sub Sector_Training Facilities,0.8213999147995583
Sub Sector_Lifestyle,0.8193202471201767
Sub Sector_Intermodal Hubs,0.7970783465582647
Sub Sector_Heritage Trails,-0.781821659703849
Sub Sector_Space,-0.7523951268774269
Industry Sector_Defence and Security,0.6922605150522025
Sub Sector_Superyacht Industry,0.6091965658400101
"Industry Sector_Sporting, Recreation, Lifestyle",-0.6045270665235162
Sub Sector_Development and Maintenance of Facilities,0.5239545812056542
Industry Sector_Lifestyle,0.4852748744789221
Sub Sector_Waste Management,-0.47867048654082045
Sub Sector_Retail and Business,-0.40647664003133244
"Sub Sector_Sporting, Recreation, Lifestyle",0.3649079094202327
Sub Sector_Tourism,-0.35965449120327325
Sub Sector_Cruise Industry,-0.35238909370716537
Sub Sector_Cotton,0.321769302334336
Sub Sector_Marine Infrastructure,-0.3088378053475328
Sub Sector_Fuel Storage,0.299847038447141
Sub Sector_Air Transport,-0.29409035120904037
Sub Sector_Unlock the potential of the Territory's regions,-0.2940127676304408
Enabling Infrastructure_Social Infrastructure,-0.28768928414589534
Sub Sector_Manufacturing,-0.2851719670800823
Region_Territory Wide,0.2598748794716439
Industry Sector_Land,-0.2582999128962481
Sub Sector_Civic Services,-0.25736742002700963
Industry Sector_Civic Services,-0.25736742002700846
Sub Sector_Horticulture,0.25285140575945736
Industry Sector_Transport and Logistics,-0.2499564637079374
Sub Sector_Mining,0.2499324902741215
Industry Sector_Resources,0.24993249027411923
Industry Sector_Health,-0.24774361025342978
Sub Sector_Water,-0.24508106056106282
Sub Sector_Green and Blue Infrastructure,0.22630686061212535
Sub Sector_Education and Training,-0.20405999555651871
Industry Sector_Education and Training,-0.20405999555644339
"Sub Sector_Parks, Reserves, Waterways",-0.20081839042813887
Category_P,0.195767486422616
Sub Sector_Drive Market,-0.19210553324752308
Enabling Infrastructure_Transport and Logistics,0.186079537443115
"Sub Sector_Rail, Roads and Bridges",-0.18200098105276113
Sub Sector_Aquaculture,0.1747429994660663
Region_Big Rivers,0.15008916080158136
Sub Sector_Residential Subdivisions,0.14867424351852665
Industry Sector_Emerging Industries,-0.14673305885726973
Region_East Arnhem,0.13561365168987466
Sub Sector_Agribusiness,-0.12809180915036653
Enabling Infrastructure_Other,-0.1249474565223046
Industry Sector_Tourism,0.11916045149084209
Industry Sector_Housing,-0.09883527943865893
Sub Sector_Housing,-0.098835279438655
Region_Greater Darwin,-0.09322213124674962
Sub Sector_Cultural Experiences,0.0747381803566545
Sub Sector_Justice and Public Safety,-0.07154182640509282
Industry Sector_Justice and Public Safety,-0.07154182640507671
Sub Sector_Industrial Subdivisions,0.06697842114158842
Sub Sector_Aviation Technology,0.06388525266276651
Enabling Infrastructure_Utilities,-0.051110905999370904
Sub Sector_Health,0.03498443862710429
Region_Top End Rural,0.029890721316728652
Industry Sector_Utilities,-0.028835596035470465
2023-24,0.021355927395291217
Sub Sector_Electricity,-0.018190527711845095
2022-23,0.015255846050034492
Region_Central Australia,0.013105384786269547
Sub Sector_Digital and Telecommunications Infrastructure,0.01284704061017955
Sub Sector_Arts Trail,0.005860440803279542
Sub Sector_Creative Industries,0.0001634176028425527
ABS Population,2.1629978296730523e-06
Sub Sector_Festivals and Major Events,-6.661338147750939e-16
Sub Sector_Transport and Logistics,-5.551115123125783e-17
